Updated 07/11/25 at 03:32pm,Position Rank,Position,Team,Value,Age,Rookie,1QBPosition Rank,1QBValue,RdrftPosition Rank,RdrftValue
Ja'Marr Chase,WR1,WR,CIN,9999,25.4,No,WR1,9999,,0
Josh Allen,QB1,QB,BUF,9997,29.1,No,QB1,7810,,0
Jayden Daniels,QB2,QB,WAS,9996,24.6,No,QB2,7642,,0
Lamar Jackson,QB3,QB,BAL,9697,28.5,No,QB3,7338,,0
Justin Jefferson,WR2,WR,MIN,9269,26.1,No,WR2,9991,,0
Brock Bowers,TE1,TE,LVR,9120.93,22.6,No,TE1,9821.63,,0
Malik Nabers,WR3,WR,NYG,8693,22.0,No,WR3,9549,,0
Bijan Robinson,RB1,RB,ATL,8456,23.4,No,RB1,9420,,0
Joe Burrow,QB4,QB,CIN,8269,28.6,No,QB4,6444,,0
Jahmyr Gibbs,RB2,RB,DET,8243,23.3,No,RB2,9065,,0
CeeDee Lamb,WR4,WR,DAL,8093,26.2,No,WR4,8659,,0
Jalen Hurts,QB5,QB,PHI,7933,26.9,No,QB5,6351,,0
Ashton Jeanty,RB3,RB,LVR,7729,21.6,Yes,RB3,8416,,0
Brian Thomas Jr.,WR5,WR,JAC,7691,22.8,No,WR5,8268,,0
Amon-Ra St. Brown,WR6,WR,DET,7447,25.7,No,WR6,7990,,0
Puka Nacua,WR7,WR,LAR,7416,24.1,No,WR7,7949,,0
Trey McBride,TE2,TE,ARI,7312.28,25.6,No,TE2,8041.58,,0
Drake London,WR8,WR,ATL,6730,24.0,No,WR9,7205,,0
Patrick Mahomes,QB6,QB,KCC,6688,29.8,No,QB6,5574,,0
Drake Maye,QB7,QB,NEP,6597,22.9,No,QB8,5445,,0
Nico Collins,WR9,WR,HOU,6545,26.3,No,WR8,7232,,0
Justin Herbert,QB8,QB,LAC,6497,27.3,No,QB10,5368,,0
Caleb Williams,QB9,QB,CHI,6483,23.6,No,QB11,5313,,0
Bo Nix,QB10,QB,DEN,6482,25.4,No,QB7,5467,,0
Marvin Harrison Jr.,WR10,WR,ARI,6457,22.9,No,WR11,7102,,0
C.J. Stroud,QB11,QB,HOU,6447,23.8,No,QB9,5372,,0
Ladd McConkey,WR11,WR,LAC,6445,23.7,No,WR10,7151,,0
Saquon Barkley,RB4,RB,PHI,6381,28.4,No,RB4,7042,,0
Jaxon Smith-Njigba,WR12,WR,SEA,6293,23.4,No,WR12,6989,,0
De'Von Achane,RB5,RB,MIA,6288,23.7,No,RB5,6924,,0
2025 Early 1st,,PI,,6245,,,,6959,,0
Omarion Hampton,RB6,RB,LAC,6210,22.3,Yes,RB6,6861,,0
Bucky Irving,RB7,RB,TBB,5871,22.9,No,RB7,6701,,0
2027 Early 1st,,PI,,5846,,,,6515,,0
Garrett Wilson,WR13,WR,NYJ,5841,25.0,No,WR14,6473,,0
Jordan Love,QB12,QB,GBP,5840.99,26.7,No,QB12,4883,,0
A.J. Brown,WR14,WR,PHI,5826,28.0,No,WR13,6531,,0
Sam LaPorta,TE3,TE,DET,5730.16,24.5,No,TE3,6581.56,,0
2026 Early 1st,,PI,,5723,,,,6335,,0
Tetairoa McMillan,WR15,WR,CAR,5706,22.3,Yes,WR15,6383,,0
Travis Hunter,WR16,WR,JAC,5700,22.2,Yes,WR17,6310,,0
Brock Purdy,QB13,QB,SFO,5664,25.5,No,QB16,4587,,0
J.J. McCarthy,QB14,QB,MIN,5593,22.5,No,QB15,4610,,0
TreVeyon Henderson,RB8,RB,NEP,5540,22.7,Yes,RB8,6339,,0
Tee Higgins,WR17,WR,CIN,5520,26.5,No,WR16,6341,,0
Kyler Murray,QB15,QB,ARI,5499,27.9,No,QB13,4699,,0
Rashee Rice,WR18,WR,KCC,5486,25.2,No,WR18,6258,,0
Jonathan Taylor,RB9,RB,IND,5441,26.5,No,RB10,6318,,0
Quinshon Judkins,RB10,RB,CLE,5419,21.7,Yes,RB9,6324,,0
Baker Mayfield,QB16,QB,TBB,5407,30.2,No,QB14,4653,,0
Cam Ward,QB17,QB,TEN,5390,23.1,Yes,QB17,4580,,0
Breece Hall,RB11,RB,NYJ,5379,24.1,No,RB11,6298,,0
Trevor Lawrence,QB18,QB,JAC,5328,25.8,No,QB19,4328,,0
2025 Mid 1st,,PI,,5324,,,,6163,,0
Tyler Warren,TE4,TE,IND,5285.46,23.1,Yes,TE4,6229.26,,0
Michael Penix Jr.,QB19,QB,ATL,5271,25.2,No,QB18,4344,,0
Colston Loveland,TE5,TE,CHI,5154.84,21.2,Yes,TE5,6000.74,,0
Rome Odunze,WR19,WR,CHI,5030,23.1,No,WR19,5935,,0
DeVonta Smith,WR20,WR,PHI,5009,26.6,No,WR21,5907,,0
Kyren Williams,RB12,RB,LAR,4984,24.9,No,RB12,5963,,0
Emeka Egbuka,WR21,WR,TBB,4983,22.7,Yes,WR20,5922,,0
Chase Brown,RB13,RB,CIN,4964,25.3,No,RB13,5905,,0
George Kittle,TE6,TE,SFO,4875.29,31.8,No,TE6,5919.19,,0
2027 Mid 1st,,PI,,4840,,,,5635,,0
Josh Jacobs,RB14,RB,GBP,4815,27.4,No,RB14,5820,,0
Bryce Young,QB20,QB,CAR,4813,24.0,No,QB20,3999,,0
Kenneth Walker III,RB15,RB,SEA,4790,24.7,No,RB15,5719,,0
